area,model,actual_lower,actual_upper,n,bias,mae
5259,RidgeAR,651.26,979.189,101,-1.7491970710953642,65.21126452411157
5259,RidgeAR,979.189,1866.385,100,-43.06013010559971,87.55702569822894
5259,RidgeAR,1866.385,2771.817,101,9.461141261016929,94.53755587264168
5259,RidgeAR,2771.817,3056.109,101,9.883422424612716,106.58052437667418
5259,RidgeAR,3056.109,3764.53,101,-41.23838816084658,125.3630475566984
5259,LSTM,161.445,246.621,101,-3.4597797621378343,24.854189211029905
5259,LSTM,246.621,332.341,101,-1.759041217760594,34.31643490442678
5259,LSTM,332.341,422.229,101,3.0817471333185864,39.77418903563377
5259,LSTM,422.229,509.15,100,8.919174110821608,42.22127259046167
5259,LSTM,509.15,651.26,101,-7.44270245573243,47.663803477408784
5259,LSTM,651.26,979.189,101,13.968978551400916,68.18087577453541
5259,LSTM,979.189,1866.385,100,-19.142221437677694,72.93832332299235
5259,LSTM,1866.385,2771.817,101,25.17179880449201,91.13094410695116
5259,LSTM,2771.817,3056.109,101,31.382374514179553,116.38484419459922
5259,LSTM,3056.109,3764.53,101,-30.581658206542496,130.7438524496305
5259,CausalCNN,161.445,246.621,101,-3.8451950750733506,33.8784296955071
5259,CausalCNN,246.621,332.341,101,5.2225449576292124,33.243277855908445
5259,CausalCNN,332.341,422.229,101,-3.382028451579785,33.248960078941124
5259,CausalCNN,422.229,509.15,100,10.81934525661838,48.96183131120437
5259,CausalCNN,509.15,651.26,101,11.439182868789391,47.92876619523522
5259,CausalCNN,651.26,979.189,101,34.18407251343764,75.1072830994866
5259,CausalCNN,979.189,1866.385,100,9.563160859137824,69.13613214275648
5259,CausalCNN,1866.385,2771.817,101,54.78866286962454,94.425943328861
5259,CausalCNN,2771.817,3056.109,101,41.1308432566849,94.36654393232764
5259,CausalCNN,3056.109,3764.53,101,13.461733425429015,135.99312183071132
4159,RidgeAR,94.695,117.517,101,7.069100567503423,8.259682039049146
4159,RidgeAR,117.517,129.84,101,4.989436807731298,7.924653088991979
4159,RidgeAR,129.84,145.234,101,7.053036539138692,10.504412144564515
4159,RidgeAR,145.234,165.327,100,7.628118494627471,11.47068467783772
4159,RidgeAR,165.327,199.614,101,3.1512687081448347,15.13284400538058
4159,RidgeAR,199.614,236.688,101,-2.2578699968834135,14.802237634181123
4159,RidgeAR,236.688,309.383,100,-7.712981774542133,19.17859758808745
4159,RidgeAR,309.383,393.225,101,2.5099655155837763,21.19823973926558
4159,RidgeAR,393.225,435.744,101,4.966354899410976,19.11720832304244
4159,RidgeAR,435.744,529.257,101,-10.8211437754188,20.815312795607547
4159,LSTM,94.695,117.517,101,7.628034572577588,8.963838902763188
4159,LSTM,117.517,129.84,101,5.021885743828329,8.344281412144648
4159,LSTM,129.84,145.234,101,6.8675658599078515,10.732137900308816
4159,LSTM,145.234,165.327,100,7.577500072000026,12.535621869154452
4159,LSTM,165.327,199.614,101,2.690913246062587,13.419606263159046
4159,LSTM,199.614,236.688,101,1.5350830238713065,14.399312033820747
4159,LSTM,236.688,309.383,100,-2.2283104006160293,16.720636942976583
4159,LSTM,309.383,393.225,101,-3.5720616529734226,18.19182580060903
4159,LSTM,393.225,435.744,101,-0.7491040289105744,23.171860414517592
4159,LSTM,435.744,529.257,101,-17.128165842629855,24.415359301880983
4159,CausalCNN,94.695,117.517,101,9.600187898760554,10.109562680423451
4159,CausalCNN,117.517,129.84,101,6.913490772471206,9.266792408514943
4159,CausalCNN,129.84,145.234,101,8.039375736291603,11.302916716813154
4159,CausalCNN,145.234,165.327,100,8.428045728681083,11.900760182819354
4159,CausalCNN,165.327,199.614,101,4.327053248055657,15.448373192368521
4159,CausalCNN,199.614,236.688,101,0.12673868547225614,15.31778455213956
4159,CausalCNN,236.688,309.383,100,5.313840506043632,21.35534277115564
4159,CausalCNN,309.383,393.225,101,13.636096966949744,22.781382323683605
4159,CausalCNN,393.225,435.744,101,12.783767295547758,20.55767104400237
4159,CausalCNN,435.744,529.257,101,-6.575868074354594,20.27202760276128
4556,RidgeAR,144.042,230.889,101,14.39678444458592,17.33832825973999
4556,RidgeAR,230.889,269.967,101,5.379663158258521,13.250289630479218
4556,RidgeAR,269.967,363.677,101,6.235659417185465,23.76568594228346
4556,RidgeAR,363.677,429.092,100,23.71824570588236,35.17712785017306
4556,RidgeAR,429.092,461.592,101,17.299704008183497,29.783968867026157
4556,RidgeAR,461.592,495.223,101,13.837353147645734,26.058188737010507
4556,RidgeAR,495.223,530.509,100,3.3444904365180332,23.000469404310603
4556,RidgeAR,530.509,581.076,101,0.4686042733760998,26.490353401636224
4556,RidgeAR,581.076,673.484,101,-2.3743818873189118,31.220040716754852
4556,RidgeAR,673.484,953.0,101,-20.423388428204728,38.96136553011147
4556,LSTM,144.042,230.889,101,18.560369833305366,21.688512220447933
4556,LSTM,230.889,269.967,101,13.45525113671598,19.747111610118587
4556,LSTM,269.967,363.677,101,13.94012322252488,29.438416165916255
4556,LSTM,363.677,429.092,100,34.79582122407322,43.80078328748673
4556,LSTM,429.092,461.592,101,25.45848723155283,32.21425939977234
4556,LSTM,461.592,495.223,101,23.332298356934682,31.007610886709198
4556,LSTM,495.223,530.509,100,10.456091710606065,24.018198699846334
4556,LSTM,530.509,581.076,101,6.401866235301247,23.676096163776762
4556,LSTM,581.076,673.484,101,-3.0696375213157667,33.61428741880895
4556,LSTM,673.484,953.0,101,-10.828220882658327,40.09389448449726
